sessid,rat,date,tethered
704813,T212,15-Jun-2019 00:00:00,0
705078,T212,16-Jun-2019 00:00:00,0
705364,T212,17-Jun-2019 00:00:00,0
705670,T212,18-Jun-2019 00:00:00,0
705970,T212,19-Jun-2019 00:00:00,0
706266,T212,20-Jun-2019 00:00:00,0
706586,T212,21-Jun-2019 00:00:00,0
706825,T212,22-Jun-2019 00:00:00,0
707123,T212,23-Jun-2019 00:00:00,0
750473,T219,23-Nov-2019 00:00:00,1
750489,T219,23-Nov-2019 00:00:00,1
750583,T219,24-Nov-2019 00:00:00,1
750605,T219,25-Nov-2019 00:00:00,1
750619,T219,26-Nov-2019 00:00:00,1
750637,T219,27-Nov-2019 00:00:00,1
750979,T219,02-Dec-2019 00:00:00,1
751227,T219,03-Dec-2019 00:00:00,1
751466,T219,04-Dec-2019 00:00:00,1
751666,T219,05-Dec-2019 00:00:00,1
752868,T219,09-Dec-2019 00:00:00,1
753136,T219,10-Dec-2019 00:00:00,1
753481,T219,11-Dec-2019 00:00:00,1
753785,T219,12-Dec-2019 00:00:00,1
754091,T219,13-Dec-2019 00:00:00,1
754969,T219,16-Dec-2019 00:00:00,1
755260,T219,17-Dec-2019 00:00:00,1
755552,T219,18-Dec-2019 00:00:00,1
755848,T219,19-Dec-2019 00:00:00,1
756129,T219,20-Dec-2019 00:00:00,1
757152,T219,28-Dec-2019 00:00:00,1
757173,T219,29-Dec-2019 00:00:00,1
757192,T219,30-Dec-2019 00:00:00,1
757212,T219,31-Dec-2019 00:00:00,1
757250,T219,02-Jan-2020 00:00:00,1
757304,T219,03-Jan-2020 00:00:00,1
757905,T219,06-Jan-2020 00:00:00,1
758188,T219,07-Jan-2020 00:00:00,1
713438,T219,15-Jul-2019 00:00:00,0
713777,T219,16-Jul-2019 00:00:00,0
714071,T219,17-Jul-2019 00:00:00,0
714365,T219,18-Jul-2019 00:00:00,0
714663,T219,19-Jul-2019 00:00:00,0
714936,T219,20-Jul-2019 00:00:00,0
715225,T219,21-Jul-2019 00:00:00,0
716109,T219,24-Jul-2019 00:00:00,0
716397,T219,25-Jul-2019 00:00:00,0
716676,T219,26-Jul-2019 00:00:00,0
716958,T219,27-Jul-2019 00:00:00,0
717223,T219,28-Jul-2019 00:00:00,0
717530,T219,29-Jul-2019 00:00:00,0
717816,T219,30-Jul-2019 00:00:00,0
718120,T219,31-Jul-2019 00:00:00,0
718334,T219,01-Aug-2019 00:00:00,0
718645,T219,02-Aug-2019 00:00:00,0
718825,T219,03-Aug-2019 00:00:00,0
719025,T219,04-Aug-2019 00:00:00,0
719350,T219,05-Aug-2019 00:00:00,0
719546,T219,06-Aug-2019 00:00:00,0
719857,T219,07-Aug-2019 00:00:00,0
720209,T219,08-Aug-2019 00:00:00,0
720517,T219,09-Aug-2019 00:00:00,0
720793,T219,10-Aug-2019 00:00:00,0
721089,T219,11-Aug-2019 00:00:00,0
721394,T219,12-Aug-2019 00:00:00,0
721707,T219,13-Aug-2019 00:00:00,0
743438,T223,29-Oct-2019 00:00:00,1
743757,T223,30-Oct-2019 00:00:00,1
744362,T223,01-Nov-2019 00:00:00,1
745388,T223,05-Nov-2019 00:00:00,1
745967,T223,07-Nov-2019 00:00:00,1
746275,T223,08-Nov-2019 00:00:00,1
747390,T223,12-Nov-2019 00:00:00,1
747692,T223,13-Nov-2019 00:00:00,1
747988,T223,14-Nov-2019 00:00:00,1
750881,T223,02-Dec-2019 00:00:00,1
751190,T223,03-Dec-2019 00:00:00,1
751650,T223,05-Dec-2019 00:00:00,1
751888,T223,06-Dec-2019 00:00:00,1
752787,T223,09-Dec-2019 00:00:00,1
753394,T223,11-Dec-2019 00:00:00,1
753704,T223,12-Dec-2019 00:00:00,1
754005,T223,13-Dec-2019 00:00:00,1
754595,T223,15-Dec-2019 00:00:00,1
754891,T223,16-Dec-2019 00:00:00,1
755179,T223,17-Dec-2019 00:00:00,1
755477,T223,18-Dec-2019 00:00:00,1
755543,T223,18-Dec-2019 00:00:00,1
755811,T223,19-Dec-2019 00:00:00,1
756062,T223,20-Dec-2019 00:00:00,1
757148,T223,28-Dec-2019 00:00:00,1
757161,T223,29-Dec-2019 00:00:00,1
757184,T223,30-Dec-2019 00:00:00,1
757200,T223,31-Dec-2019 00:00:00,1
757218,T223,01-Jan-2020 00:00:00,1
757242,T223,02-Jan-2020 00:00:00,1
757262,T223,03-Jan-2020 00:00:00,1
758100,T223,07-Jan-2020 00:00:00,1
714131,T223,18-Jul-2019 00:00:00,0
714409,T223,18-Jul-2019 00:00:00,0
714710,T223,19-Jul-2019 00:00:00,0
715017,T223,20-Jul-2019 00:00:00,0
715304,T223,21-Jul-2019 00:00:00,0
715859,T223,24-Jul-2019 00:00:00,0
716154,T223,24-Jul-2019 00:00:00,0
716441,T223,25-Jul-2019 00:00:00,0
716742,T223,26-Jul-2019 00:00:00,0
717034,T223,28-Jul-2019 00:00:00,0
717302,T223,28-Jul-2019 00:00:00,0
717576,T223,29-Jul-2019 00:00:00,0
717881,T223,30-Jul-2019 00:00:00,0
718158,T223,01-Aug-2019 00:00:00,0
718422,T223,02-Aug-2019 00:00:00,0
718737,T223,02-Aug-2019 00:00:00,0
718914,T223,03-Aug-2019 00:00:00,0
719105,T223,04-Aug-2019 00:00:00,0
719426,T223,05-Aug-2019 00:00:00,0
719627,T223,06-Aug-2019 00:00:00,0
719943,T223,08-Aug-2019 00:00:00,0
720264,T223,08-Aug-2019 00:00:00,0
720570,T223,09-Aug-2019 00:00:00,0
720870,T223,10-Aug-2019 00:00:00,0
721163,T223,11-Aug-2019 00:00:00,0
721470,T223,12-Aug-2019 00:00:00,0
721769,T223,13-Aug-2019 00:00:00,0
722079,T223,15-Aug-2019 00:00:00,0
757328,T224,03-Jan-2020 00:00:00,1
723984,T224,20-Aug-2019 00:00:00,0
724286,T224,22-Aug-2019 00:00:00,0
724577,T224,22-Aug-2019 00:00:00,0
724896,T224,23-Aug-2019 00:00:00,0
725218,T224,25-Aug-2019 00:00:00,0
725506,T224,25-Aug-2019 00:00:00,0
725838,T224,26-Aug-2019 00:00:00,0
726160,T224,27-Aug-2019 00:00:00,0
726462,T224,29-Aug-2019 00:00:00,0
726776,T224,30-Aug-2019 00:00:00,0
727073,T224,31-Aug-2019 00:00:00,0
727361,T224,31-Aug-2019 00:00:00,0
727645,T224,01-Sep-2019 00:00:00,0
727865,T224,02-Sep-2019 00:00:00,0
728152,T224,03-Sep-2019 00:00:00,0
728467,T224,04-Sep-2019 00:00:00,0
728771,T224,05-Sep-2019 00:00:00,0
729075,T224,06-Sep-2019 00:00:00,0
729371,T224,07-Sep-2019 00:00:00,0
729675,T224,08-Sep-2019 00:00:00,0
729989,T224,09-Sep-2019 00:00:00,0
730308,T224,11-Sep-2019 00:00:00,0
730590,T224,11-Sep-2019 00:00:00,0
730901,T224,13-Sep-2019 00:00:00,0
731210,T224,13-Sep-2019 00:00:00,0
731521,T224,14-Sep-2019 00:00:00,0
731803,T224,15-Sep-2019 00:00:00,0
732073,T224,16-Sep-2019 00:00:00,0
732398,T224,17-Sep-2019 00:00:00,0
768779,T249,11-Feb-2020 00:00:00,1
768869,T249,11-Feb-2020 00:00:00,1
769138,T249,12-Feb-2020 00:00:00,1
758181,T249,07-Jan-2020 00:00:00,0
758472,T249,08-Jan-2020 00:00:00,0
758765,T249,09-Jan-2020 00:00:00,0
759052,T249,10-Jan-2020 00:00:00,0
759345,T249,11-Jan-2020 00:00:00,0
759637,T249,12-Jan-2020 00:00:00,0
759940,T249,13-Jan-2020 00:00:00,0
760260,T249,14-Jan-2020 00:00:00,0
760580,T249,15-Jan-2020 00:00:00,0
760879,T249,16-Jan-2020 00:00:00,0
